genes	logFC	logCPM	F	PValue	FDR	PeakRegion	Htt.LogFC	Htt.PValue	Htt.FDR
Shared_PeakRegion_237_chr3_123379484_123383879	-2.06667364682121	-1.10346409189886	19.7010299807379	2.8117462839752e-05	0.0197384589135059	Shared_PeakRegion_237_chr3_123379484_123383879	-0.261878876328261	0.1465846153943	0.217214925097682
Q111_PeakRegion_1568_chr17_29242731_29246161	-1.55324504530087	-0.453286795456747	16.2076004759025	0.000126421729252099	0.0443740269674866	Q111_PeakRegion_1568_chr17_29242731_29246161	0.32244654330803	0.0778909830183348	0.134914579350852
Shared_PeakRegion_1350_chr17_29238221_29240968	-1.84058723239196	-1.25686421263659	14.6688727853029	0.000250529401525546	0.0511689401807593	Shared_PeakRegion_1350_chr17_29238221_29240968	0.0790438026899703	0.660065654164	0.720697847442756
Q111_PeakRegion_223_chr3_48870737_48871268	-1.07276419535521	2.68598123965815	14.2031894211364	0.000309027967103757	0.0511689401807593	Q111_PeakRegion_223_chr3_48870737_48871268	1.31873276114996	0.00774937338165323	0.026768020926906
Shared_PeakRegion_1330_chr17_13410518_13413787	-1.7098299923754	-1.12335609545959	13.6309639487969	0.000400696664254005	0.0511689401807593	Shared_PeakRegion_1330_chr17_13410518_13413787	-0.55465461345576	0.000833114380462543	0.0070541022903427
Shared_PeakRegion_763_chr7_46534019_46537529	-1.58696291806672	-1.01316436628386	13.4392580560342	0.000437341369066319	0.0511689401807593	Shared_PeakRegion_763_chr7_46534019_46537529	-0.113024293418678	0.480361689643393	0.55952182258176
Q111_PeakRegion_701_chr5_132108983_132110536	-1.49563728885832	-1.01271490469929	12.6296069552175	0.00063463284672864	0.0636446083433579	Q111_PeakRegion_701_chr5_132108983_132110536	-0.341103737796941	0.269546309640201	0.351684881339425
WT_PeakRegion_24_chr1_9535818_9536843	0.471860527540098	5.76384123803202	12.3279052483705	0.000729935434149946	0.0640518343466578	WT_PeakRegion_24_chr1_9535818_9536843	-0.975005856038365	0.00134745728799101	0.00929747688338622
Shared_PeakRegion_385_chr4_145711886_145715369	-1.29627617225619	-0.549603462067362	11.4187770545953	0.0011171709337502	0.0871393328325158	Shared_PeakRegion_385_chr4_145711886_145715369	-0.593858437760416	0.000109535377277619	0.00254947209623921
Shared_PeakRegion_422_chr4_146607666_146610529	-1.36477419690376	-0.88651897645572	11.1405019836361	0.00127419715878594	0.0894486405467728	Shared_PeakRegion_422_chr4_146607666_146610529	-0.2870342434026	0.0756254170748852	0.131979154786179
