Feature.ID	logFC	logCPM	F	PValue	FDR	Nearest.Gene	Gene.Distance
H3K4me3_Striata_PeakRegion_10000_chr10_61647600_61651399	0.0799499574144931	5.56564972127371	0.249868374778818	0.629718100309266	0.917620040005455	ENSMUSG00000020089.8_Ppa1	0
H3K4me3_Striata_PeakRegion_10001_chr10_61677800_61683199	0.0881402456810656	5.68104211906257	0.986134835279597	0.347830621859697	0.829212610984276	ENSMUSG00000112581.1_1700022H01Rik,ENSMUSG00000020088.10_Sar1a	0,0
H3K4me3_Striata_PeakRegion_10002_chr10_61693400_61700199	0.058915197392366	6.20958038769395	0.0441387562876528	0.838492932923274	0.967067260682273	ENSMUSG00000020087.5_Tysnd1	0
H3K4me3_Striata_PeakRegion_10003_chr10_61713600_61717399	0.255010024497877	3.70558121946079	5.45014365966397	0.0457040893988315	0.66991613351354	ENSMUSG00000020085.15_Aifm2	0
H3K4me3_Striata_PeakRegion_10004_chr10_61781200_61786399	0.29405475648176	6.13370646005871	5.57580819778668	0.0437791553588567	0.66991613351354	ENSMUSG00000020086.6_H2afy2	0
H3K4me3_Striata_PeakRegion_10005_chr10_61936400_61937999	0.158011226257386	1.41788995416458	0.554509238628056	0.476354304133562	0.878375787974572	ENSMUSG00000058806.14_Col13a1	0
H3K4me3_Striata_PeakRegion_10006_chr10_61977200_61979599	0.248329600899137	1.71213560902035	0.952857349293774	0.355674389154477	0.831191623078552	ENSMUSG00000058806.14_Col13a1	0
H3K4me3_Striata_PeakRegion_10007_chr10_62107800_62112199	0.0694352686281587	4.98140118895335	0.302236411583565	0.596482136621184	0.909030159096122	ENSMUSG00000020083.13_Fam241b	0
H3K4me3_Striata_PeakRegion_10008_chr10_62227000_62232399	0.18494166739763	4.93339085686589	4.0599260601658	0.0762299632177945	0.683545244689015	ENSMUSG00000037031.10_Tspan15	0
H3K4me3_Striata_PeakRegion_10009_chr10_62330200_62333799	0.0246656405145635	2.06661991738474	0.0250380582841758	0.877928670905676	0.976169073610955	ENSMUSG00000037012.18_Hk1	0
H3K4me3_Striata_PeakRegion_1000_chr1_187213800_187217799	0.109683457358859	4.99957648277461	1.2704920545558	0.290168348302618	0.805467311667613	ENSMUSG00000026611.17_Spata17,ENSMUSG00000039210.16_Gpatch2	0,0
H3K4me3_Striata_PeakRegion_10010_chr10_62334600_62343799	0.163222055274284	7.32900017601231	5.3222190531911	0.0477743355279334	0.66991613351354	ENSMUSG00000037012.18_Hk1,ENSMUSG00000085347.1_Hk1os	0,0
